trans_date_trans_time,cc_num,amt,category,city_pop,merch_lat,merch_long,is_fraud
2026-03-13 09:04:10,3554421171166228,459.08724453708084,grocery,12866,37.813194,-94.521518,0
2026-01-09 09:04:09,4975457191020,193.8448195996397,grocery,242803,37.025245,-76.873715,0
2026-02-03 09:04:09,4180192513916047166,474.4234531797058,gas,7369,36.418406,-79.487014,0
2026-02-22 09:04:09,4180192513916047166,70.07931117136776,grocery,7369,36.418406,-79.487014,0
2026-03-15 09:04:10,3521260686633367,499.11877888853144,gas,2906700,29.693768,-95.293917,0
2026-04-11 09:04:09,3547336099599450,423.7500250777573,online,19880,42.497809,-73.271346,1
2026-03-07 09:04:09,4659625317833446364,177.54079020948157,restaurant,10085,40.419938,-87.88480899999999,0
2026-02-20 09:04:09,4243521033756702612,406.0915524570923,online,10127,41.857272,-79.323656,0
2026-04-01 09:04:08,577891228931,43.74346654861884,grocery,16955,44.916768,-117.690038,0
2025-08-17 09:04:10,3554421171166228,380.6188948850881,shopping,12866,37.813194,-94.521518,1
2025-06-09 09:04:10,180040131978916,336.0843918332377,shopping,12478,42.60645,-79.685621,0
2026-01-05 09:04:09,501894933032,393.3794960421252,grocery,1577385,40.859356,-74.97334000000001,0
2025-10-24 09:04:09,6011732631674654,348.5184737110175,gas,3631,40.229744,-84.97909,0
2025-11-13 09:04:09,345225948700767,461.2947075444061,shopping,40470,39.136771,-82.958061,0
2025-06-14 09:04:08,4593569795412,311.05090412951125,grocery,121,40.552089,-96.848354,0
2025-07-21 09:04:10,4457486401506,358.0026654349937,gas,23045,40.537014,-74.21176899999999,1
2025-06-17 09:04:10,4457486401506,308.24730066914117,shopping,23045,40.537014,-74.21176899999999,0
2025-06-14 09:04:09,5301645381939419,128.41285050785882,grocery,389246,40.373788,-104.313727,0
2026-02-06 09:04:09,4162872756672112717,220.9287815010475,grocery,3164,34.436294000000004,-81.9725,0
2026-03-12 09:04:10,3521260686633367,156.20729696290815,grocery,2906700,29.693768,-95.293917,0
2026-04-04 09:04:10,676179782773,275.72210500937774,shopping,151022,41.875261,-73.97128000000001,0
2026-03-23 09:04:08,3547336099599450,199.6046411842969,restaurant,19880,42.497809,-73.271346,0
2025-10-10 09:04:08,4204237326785494,6.504775516970431,grocery,12626,38.025091,-88.883023,0
2025-12-30 09:04:08,340187018810220,259.3579239132126,grocery,1595797,29.789989,-97.996197,0
2025-06-06 09:04:09,5301645381939419,410.52738422262286,online,389246,40.373788,-104.313727,1
2025-11-13 09:04:10,676327197445,25.232798924535185,restaurant,7322,40.22984,-74.130332,0
2025-08-26 09:04:08,4669558618943766,301.6740287575896,online,4299,41.073170000000005,-72.535489,0
2025-10-14 09:04:10,38534201672254,61.35937045700767,online,17558,37.965064,-77.703253,0
2025-10-25 09:04:09,3524485462198080,479.9321094324197,shopping,172817,33.384541,-117.954597,1
2026-02-23 09:04:10,676327197445,273.64884313865633,grocery,7322,40.22984,-74.130332,0
2026-04-24 09:04:09,6011826317034777,10.453756283802933,shopping,18799,39.073319,-75.545153,0
2025-12-13 09:04:08,4257110907449569602,140.60199007730392,shopping,149,44.486682,-87.826353,0
2025-06-21 09:04:10,3521260686633367,286.2422189872216,gas,2906700,29.693768,-95.293917,0
2025-11-29 09:04:09,5301645381939419,330.0520580789168,grocery,389246,40.373788,-104.313727,1
2026-01-19 09:04:08,38817501916673,347.65353895635894,gas,2749,35.057815000000005,-80.656651,0
2025-08-14 09:04:10,3521260686633367,264.49567705289587,shopping,2906700,29.693768,-95.293917,0
2025-09-02 09:04:09,4076173495454,492.13301511798255,gas,239,66.357215,-153.443491,0
2025-07-01 09:04:09,3524485462198080,300.666849335001,restaurant,172817,33.384541,-117.954597,0
2025-05-22 09:04:08,378262805520186,480.42949519200147,gas,10150,30.930736,-90.007419,1
2025-11-27 09:04:09,5144043920225212,316.56573197628876,online,13021,36.840971,-81.078136,1
2025-11-23 09:04:08,378262805520186,391.1133745926697,restaurant,10150,30.930736,-90.007419,0
2025-07-31 09:04:09,3524485462198080,5.974648132524729,restaurant,172817,33.384541,-117.954597,0
2026-02-14 09:04:10,4457486401506,135.25706214233932,gas,23045,40.537014,-74.21176899999999,0
2025-11-10 09:04:08,577891228931,171.98409057233675,restaurant,16955,44.916768,-117.690038,1
2025-06-17 09:04:08,4593569795412,434.4072016538241,gas,121,40.552089,-96.848354,0
2025-07-19 09:04:08,38817501916673,385.7219768422038,shopping,2749,35.057815000000005,-80.656651,1
2025-10-04 09:04:08,38817501916673,397.8755771415896,restaurant,2749,35.057815000000005,-80.656651,0
2026-02-19 09:04:08,378262805520186,40.21067008035535,gas,10150,30.930736,-90.007419,0
2025-11-17 09:04:09,3524485462198080,212.7616410007637,grocery,172817,33.384541,-117.954597,0
2025-08-09 09:04:09,4180192513916047166,74.49050621249337,online,7369,36.418406,-79.487014,1
2025-07-28 09:04:09,5301645381939419,390.9713182233489,shopping,389246,40.373788,-104.313727,0
2025-06-07 09:04:08,378262805520186,29.48634118856811,shopping,10150,30.930736,-90.007419,0
2026-02-14 09:04:09,501894933032,434.12183373872057,gas,1577385,40.859356,-74.97334000000001,0
